"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 14 00:13:46 UTC 2025","Mon Apr 14 00:13:47 UTC 2025","510","tests.delivery","test_03_delete_delivery_address","","","","test_delete_delivery_address_permissions[authorize_admin-authorize_admin-False]","Тест: проверка прав доступа при удалении адресов"
"passed","Mon Apr 14 00:13:52 UTC 2025","Mon Apr 14 00:13:52 UTC 2025","163","tests.fund","test_get_top_donors","","","","test_get_top_donors_invalid_params[invalid_param1-https://dev.ewahelps.com/api]","Негативный тест: переданы некорректные параметры."
"passed","Mon Apr 14 00:16:32 UTC 2025","Mon Apr 14 00:16:32 UTC 2025","429","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_admin-attachments1-ReceivingDefectiveProducts]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:14:14 UTC 2025","Mon Apr 14 00:14:14 UTC 2025","486","tests.register","test_03_register_client","","","","test_register_client_negative[payload1-403]","Тест: негативные тесты для регистрации клиента вручную"
"skipped","Mon Apr 14 00:13:58 UTC 2025","Mon Apr 14 00:14:00 UTC 2025","1419","tests.orders","test_group_order_change_country","","","","test_change_country_success[authorize_partner-200]","Позитивные тесты: успешное изменение страны в групповом заказе"
"passed","Mon Apr 14 00:14:52 UTC 2025","Mon Apr 14 00:14:52 UTC 2025","495","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort0-search0-pagination1-authorize_client]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_family_agreement_create_one","","","","test_create_family_agreement_one_positive[authorize_partner-payload0]","Позитивные тесты на создание семейного соглашения при отсутствующем втором партнере"
"passed","Mon Apr 14 00:14:25 UTC 2025","Mon Apr 14 00:14:26 UTC 2025","427","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter0-sort1-search0-pagination0-authorize_admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Mon Apr 14 00:17:01 UTC 2025","Mon Apr 14 00:17:01 UTC 2025","363","tests.tickets","test_07_delete_ticket","","","","test_delete_ticket_not_admin[client]","Негативный тест: попытка удаления тикета клиентом, партнером"
"broken","Mon Apr 14 00:13:47 UTC 2025","Mon Apr 14 00:13:48 UTC 2025","698","tests.delivery","test_03_delete_delivery_address","","","","test_delete_delivery_address_permissions[authorize_client-authorize_partner-True]","Тест: проверка прав доступа при удалении адресов"
